idx,#T,-RT ln Z,Z
1,-80,-37.7346,4.96637e+42
2,-80,-27.0602,4.15058e+30
3,-80,-32.6473,8.707249999999999e+36
4,-80,-33.9188,2.3909000000000002e+38
5,-80,-43.7088,2.85606e+49
6,-80,-48.2401,3.82698e+54
7,-80,-22.2497,1.49665e+25
8,-80,-35.7555,2.86217e+40
9,-80,-37.1476,1.07627e+42
10,-80,-32.3825,4.3681e+36
11,-80,-23.9713,1.32783e+27
12,-80,-36.5256,2.12843e+41
13,-80,-43.1485,6.63438e+48
14,-80,-30.976999999999997,1.12181e+35
15,-80,-32.4186,4.79818e+36
16,-80,-44.0853,7.617400000000001e+49
17,-80,-26.0365,2.88302e+29
18,-80,-42.0125,3.4389500000000002e+47
19,-80,-30.4218,2.64085e+34
20,-80,-33.0117,2.2497500000000003e+37
21,-80,-35.3464,9.858420000000001e+39
22,-80,-35.0832,4.96598e+39
23,-80,-37.8503,6.714610000000001e+42
24,-80,-30.3264,2.0597e+34
25,-80,-35.6939,2.4383100000000004e+40
26,-80,-37.3395,1.7744400000000002e+42
27,-80,-32.5272,6.36737e+36
28,-80,-31.9253,1.32723e+36
29,-80,-47.1026,1.97576e+53
30,-80,-40.1709,2.8360500000000003e+45
31,-80,-45.0426,9.22332e+50
32,-80,-30.3234,2.04364e+34
33,-80,-35.0396,4.43273e+39
34,-80,-54.401,3.5791300000000005e+61
35,-80,-25.8072,1.58629e+29
36,-80,-33.1102,2.9078600000000003e+37
37,-80,-25.6685,1.10536e+29
38,-80,-35.9401,4.63047e+40
39,-80,-28.9823,6.20874e+32
40,-80,-33.7945,1.72961e+38
41,-80,-36.8959,5.5857000000000004e+41
42,-80,-40.0643,2.1481e+45
43,-80,-31.7837,9.1765e+35
44,-80,-48.8767,2.0096e+55
45,-80,-29.3143,1.47458e+33
46,-80,-27.203000000000003,6.02202e+30
47,-80,-29.5959,3.07087e+33
48,-80,-39.266999999999996,2.6912000000000003e+44
49,-80,-28.9159,5.222e+32
50,-80,-42.8089,2.7385300000000003e+48
51,-80,-31.6382,6.28153e+35
52,-80,-36.8418,4.85094e+41
53,-80,-24.5573,6.11149e+27
54,-80,-37.2755,1.50162e+42
55,-80,-28.8533,4.43588e+32
56,-80,-30.6683,5.01994e+34
57,-80,-40.5241,7.117640000000001e+45
58,-80,-27.2255,6.38525e+30
59,-80,-50.1927,6.19759e+56
60,-80,-36.8703,5.22581e+41
61,-80,-34.2652,5.89542e+38
62,-80,-23.4048,3.03479e+26
63,-80,-30.9737,1.11224e+35
64,-80,-49.5624,1.19957e+56
65,-80,-56.3305,5.457e+63
66,-80,-32.1324,2.2766e+36
67,-80,-39.0174,1.40444e+44
68,-80,-32.533,6.463929999999999e+36
69,-80,-36.9891,7.12095e+41
70,-80,-39.9557,1.61874e+45
71,-80,-26.7168,1.69673e+30
72,-80,-29.8064,5.31478e+33
73,-80,-23.9897,1.39284e+27
74,-80,-29.1282,9.07873e+32
75,-80,-39.1861,2.1798500000000003e+44
76,-80,-35.4229,1.20348e+40
77,-80,-61.965,1.2950900000000003e+70
78,-80,-49.2423,5.20937e+55
79,-80,-34.7684,2.18683e+39
