idx,#T,-RT ln Z,Z
1,25,-10.8549,90508000.0
2,25,-5.36784,8603.27
3,25,-9.83298,16130200.0
4,25,-8.63305,2128560.0
5,25,-14.9472,90440800000.0
6,25,-15.7531,3.525e+11
7,25,-3.61245,444.582
8,25,-6.86936,108465.0
9,25,-8.98989,3887320.0
10,25,-6.52635,60793.4
11,25,-3.93705,768.925
12,25,-10.9686,109662000.0
13,25,-13.7722,12448400000.0
14,25,-11.0999,136857000.0
15,25,-9.49862,9173870.0
16,25,-12.3677,1163040000.0
17,25,-1.96036,27.3501
18,25,-12.9173,2940600000.0
19,25,-5.65723,14021.2
20,25,-11.6536,348445000.0
21,25,-10.2402,32072700.0
22,25,-10.6335,62286800.0
23,25,-11.9493,573967000.0
24,25,-6.05562,27466.7
25,25,-7.36811,251695.0
26,25,-9.38682,7596320.0
27,25,-5.17751,6239.49
28,25,-7.6354,395184.0
29,25,-13.0319,3568230000.0
30,25,-12.8302,2538740000.0
31,25,-16.7897,2.02765e+12
32,25,-5.63222,13441.8
33,25,-5.24128,6948.55
34,25,-21.6042,6.85529e+15
35,25,-5.40562,9169.73
36,25,-7.89126,608620.0
37,25,-4.50104,1992.02
38,25,-9.58793,10666500.0
39,25,-7.88493,602157.0
40,25,-6.49073,57246.4
41,25,-10.7664,77952400.0
42,25,-12.2473,949258000.0
43,25,-9.63107,11472000.0
44,25,-16.3501,9.65414e+11
45,25,-7.46421,296018.0
46,25,-5.29726,7637.02
47,25,-9.02253,4107450.0
48,25,-11.9543,578883000.0
49,25,-6.6668,77056.7
50,25,-10.8915,96275200.0
51,25,-9.05165,4314400.0
52,25,-12.551,1584740000.0
53,25,-4.48057,1924.36
54,25,-9.73364,13640300.0
55,25,-5.88198,20489.3
56,25,-5.83884,19050.5
57,25,-10.0576,23565400.0
58,25,-7.39922,265265.0
59,25,-19.2081,1.20133e+14
60,25,-10.8878,95677100.0
61,25,-7.52807,329706.0
62,25,-5.02804,4848.26
63,25,-10.9783,111478000.0
64,25,-15.2306,1.4593e+11
65,25,-16.862,2.29083e+12
66,25,-4.67226,2659.46
67,25,-10.9408,104642000.0
68,25,-7.77649,501436.0
69,25,-8.5837,1958430.0
70,25,-7.52505,328027.0
71,25,-4.98426,4502.94
72,25,-9.84927,16580000.0
73,25,-3.12277,194.542
74,25,-7.48929,308815.0
75,25,-13.4028,6672950000.0
76,25,-10.7469,75435600.0
77,25,-24.4383,8.19278e+17
78,25,-16.8343,2.18599e+12
79,25,-9.64698,11784200.0
80,25,-17.8955,1.31068e+13
81,25,-11.1063,138362000.0
82,25,-8.49295,1680320.0
83,25,-27.1866,8.47177e+19
84,25,-14.9738,94599500000.0
85,25,-10.7026,69993100.0
86,25,-10.5426,53427600.0
87,25,-16.6884,1.70896e+12
88,25,-15.7504,3.50882e+11
89,25,-12.6232,1790010000.0
90,25,-23.5439,1.81051e+17
91,25,-13.0396,3615120000.0
92,25,-7.29219,221422.0
93,25,-18.0398,1.67236e+13
94,25,-12.5816,1668650000.0
95,25,-20.2626,7.12246e+14
96,25,-9.56979,10344700.0
97,25,-9.4304,8176060.0
98,25,-16.8958,2.42497e+12
99,25,-13.3632,6241970000.0
100,25,-9.48201,8920250.0
101,25,-15.0502,1.07621e+11
102,25,-5.14891,5945.43
103,25,-5.20431,6528.19
104,25,-7.64986,404944.0
105,25,-22.5853,3.59041e+16
106,25,-11.5962,316275000.0
107,25,-16.5112,1.26715e+12
108,25,-6.41065,50009.0
109,25,-8.32678,1269350.0
110,25,-11.7532,412284000.0
111,25,-10.195,29718100.0
112,25,-11.0738,130967000.0
113,25,-8.55531,1866820.0
114,25,-7.793,515608.0
115,25,-12.0111,637142000.0
116,25,-15.8592,4.21631e+11
117,25,-10.9318,103057000.0
118,25,-9.29176,6470250.0
119,25,-10.2197,30983000.0
120,25,-9.25671,6098610.0
121,25,-11.7976,444336000.0
122,25,-13.3595,6203060000.0
123,25,-8.88019,3230270.0
124,25,-11.4734,257107000.0
125,25,-19.2491,1.28742e+14
126,25,-7.31645,230678.0
127,25,-18.5789,4.15365e+13
128,25,-12.3101,1055340000.0
129,25,-13.0047,3408130000.0
130,25,-15.2399,1.48242e+11
131,25,-6.60254,69135.8
132,25,-12.4013,1230990000.0
133,25,-13.6014,9330930000.0
134,25,-4.90842,3961.89
135,25,-9.16719,5243340.0
136,25,-9.80068,15274400.0
137,25,-8.93021,3514810.0
138,25,-8.57206,1920320.0
139,25,-7.82107,540629.0
140,25,-22.8722,5.82716e+16
141,25,-4.69609,2768.62
142,25,-13.7145,11293800000.0
143,25,-17.1226,3.55602e+12
144,25,-18.0606,1.73201e+13
145,25,-9.01892,4082540.0
146,25,-8.77916,2723840.0
147,25,-6.57858,66395.9
148,25,-13.5693,8838230000.0
149,25,-8.93338,3533700.0
150,25,-6.42311,51071.8
151,25,-3.79029,600.215
152,25,-22.1209,1.63968e+16
153,25,-16.3887,1.03039e+12
154,25,-14.7188,61517800000.0
155,25,-13.0981,3990240000.0
156,25,-10.1508,27579100.0
157,25,-12.0163,642748000.0
158,25,-14.4693,40372700000.0
159,25,-8.07188,825545.0
160,25,-6.2555,38487.7
161,25,-16.6835,1.69488e+12
162,25,-7.05394,148110.0
163,25,-3.12447,195.099
164,25,-16.7988,2.05902e+12
165,25,-8.55147,1854730.0
166,25,-8.14174,928859.0
167,25,-6.64156,73842.2
168,25,-8.8783,3219960.0
169,25,-12.6965,2025840000.0
170,25,-4.13339,1071.04
171,25,-20.416,9.22708e+14
172,25,-12.4022,1232840000.0
173,25,-13.6052,9390690000.0
174,25,-6.01629,25703.0
175,25,-7.73181,465018.0
176,25,-5.1163,5627.06
177,25,-8.08545,844668.0
178,25,-9.92647,18887100.0
179,25,-3.04481,170.555
180,25,-6.9071,115598.0
181,25,-6.25061,38171.4
182,25,-9.56216,10212400.0
183,25,-8.61047,2048940.0
184,25,-8.2543,1123190.0
185,25,-18.5696,4.08918e+13
186,25,-9.72495,13441600.0
187,25,-10.7783,79537000.0
188,25,-13.2754,5382360000.0
189,25,-12.1545,811573000.0
190,25,-12.6473,1864540000.0
191,25,-15.2049,1.39721e+11
192,25,-15.1773,1.33366e+11
193,25,-6.05823,27588.3
194,25,-22.0629,1.48681e+16
195,25,-7.90594,623890.0
196,25,-9.58846,10675900.0
197,25,-9.99125,21069600.0
198,25,-9.91349,18477900.0
199,25,-17.685,9.18826e+12
200,25,-10.5783,56746700.0
201,25,-5.14765,5932.84
202,25,-6.09266,29239.1
203,25,-11.6144,326152000.0
204,25,-10.767,78037900.0
205,25,-13.4698,7472620000.0
206,25,-8.97605,3797570.0
207,25,-6.65665,75747.7
208,25,-17.2024,4.06921e+12
209,25,-22.0092,1.35788e+16
210,25,-7.4178,273712.0
211,25,-7.03535,143536.0
212,25,-8.1539,948112.0
213,25,-8.504,1711930.0
214,25,-17.4525,6.20614e+12
215,25,-8.25456,1123690.0
216,25,-14.368,34026000000.0
217,25,-15.9104,4.5964e+11
218,25,-15.5726,2.59897e+11
219,25,-10.5739,56326600.0
220,25,-12.3546,1137690000.0
221,25,-10.7917,81361800.0
222,25,-19.695,2.73269e+14
223,25,-16.5537,1.3614e+12
224,25,-6.04695,27067.7
225,25,-24.6021,1.08025e+18
226,25,-7.15688,176214.0
227,25,-8.87343,3193630.0
228,25,-5.5404,11512.0
229,25,-7.65414,407884.0
230,25,-10.2071,30330400.0
231,25,-5.18437,6312.11
232,25,-11.2795,185341000.0
233,25,-11.0717,130515000.0
234,25,-4.33639,1508.71
235,25,-10.675,66809000.0
236,25,-6.43959,52512.8
237,25,-15.1948,1.37376e+11
238,25,-14.5274,44532800000.0
